1vs2, 0.214213
2vs3, 0.165353
3vs4, -0.0140566
4vs5, 0.0665097
5vs6, 0.326494
6vs7, 0.0930149
7vs8, 0.0844181
8vs9, 0.181161
9vs10, 0.340975
10vs11, 0.249767
11vs12, 0.285668
12vs13, 0.157578
13vs14, 0.145277
14vs15, 0.121918
15vs16, 0.354867
16vs17, 0.237032
17vs18, 0.40021
18vs19, 0.120053
19vs20, 0.076924
20vs21, 0.160064
21vs22, 0.212053
22vs23, 0.0229658
23vs24, 0.0232908
24vs25, 0.161798
25vs26, -0.00284154
26vs27, 0.196338
27vs28, 0.0582979
28vs29, 0.0697413
29vs30, 0.340272
30vs31, 0.343207
31vs32, 0.145901
32vs33, 0.0597702
33vs34, 0.18832
34vs35, 0.33991
35vs36, 0.0504403
36vs37, 0.214935
37vs38, 0.241467
38vs39, 0.0556242
39vs40, -0.00108511
40vs41, -0.0612633
41vs42, 0.130648
42vs43, 0.143761
43vs44, 0.22637
44vs45, 0.0216043
45vs46, 0.174838
46vs47, -0.00389424
47vs48, 0.109326
48vs49, 0.0188381
49vs50, 0.310074
50vs51, 0.22807
51vs52, 0.155747
52vs53, 0.219459
53vs54, 0.201952
54vs55, 0.230134
55vs56, 0.16827
56vs57, 0.136701
57vs58, 0.193909
58vs59, 0.183781
59vs60, 0.13913
