1vs2, 0.750511
2vs3, 0.803227
3vs4, 0.476574
4vs5, 0.638839
5vs6, 0.955003
6vs7, 0.821952
7vs8, 0.794012
8vs9, 0.824406
9vs10, 0.893751
10vs11, 0.882173
11vs12, 0.862102
12vs13, 0.734759
13vs14, 0.734322
14vs15, 0.61838
15vs16, 0.830583
16vs17, 0.792247
17vs18, 0.821886
18vs19, 0.929874
19vs20, 0.731215
20vs21, 0.837726
21vs22, 0.881031
22vs23, 0.837668
23vs24, 0.847869
24vs25, 0.799138
25vs26, 0.817912
26vs27, 0.818913
27vs28, 0.714219
28vs29, 0.695465
29vs30, 0.696501
30vs31, 0.865861
31vs32, 0.88893
32vs33, 0.803745
33vs34, 0.655436
34vs35, 0.635336
35vs36, 0.741926
36vs37, 0.661073
37vs38, 0.872782
38vs39, 0.872629
39vs40, 0.768927
40vs41, 0.685246
41vs42, 0.420794
42vs43, 0.674909
43vs44, 0.839079
44vs45, 0.697275
45vs46, 0.78223
46vs47, 0.790657
47vs48, 0.73475
48vs49, 0.51936
49vs50, 0.596167
50vs51, 0.628331
51vs52, 0.712612
52vs53, 0.848559
53vs54, 0.780993
54vs55, 0.591745
55vs56, 0.636313
56vs57, 0.531183
57vs58, 0.762326
58vs59, 0.898571
59vs60, 0.730156
